Sample,aupnn_prob,mc_prob,aupnn_logit,mc_logit
1,1.9923272e-09,7.835855e-10,0.0014028577,0.0013152122
2,3.9623228e-07,3.1969253e-07,0.0019673626,0.0018583233
3,3.472262e-08,5.312057e-08,0.0015549907,0.0014266673
4,9.9733315e-06,7.2767302e-06,0.0011823241,0.0010584617
5,1.8537322e-07,1.7903311e-07,0.0017260968,0.0015396666
6,1.8735822e-09,6.548837e-08,0.0015904547,0.0015251505
7,5.340627e-07,4.7202303e-07,0.001608454,0.0014748995
8,3.5355454e-06,2.827711e-06,0.001720847,0.0015991414
9,2.3078927e-07,1.5071126e-07,0.0017159849,0.0015068932
10,1.2524542e-07,1.354987e-07,0.0014674402,0.0013501843
11,1.130753e-06,8.353253e-07,0.0016416078,0.0014707025
12,4.2396735e-07,3.3195462e-07,0.0017302572,0.0015316987
13,4.4024267e-07,3.3327964e-07,0.0019443962,0.0017575866
14,1.1436954e-05,9.182647e-06,0.0016528183,0.0014969073
15,8.165933e-07,7.241722e-07,0.001766557,0.0017315141
16,9.7995e-07,8.774114e-07,0.0017686099,0.0016412882
17,4.8557865e-08,8.019585e-08,0.0018169804,0.0017160032
18,3.6653074e-07,4.1527406e-07,0.0019979782,0.00203429
19,1.7805215e-07,1.4962475e-07,0.0018624796,0.0019108133
20,1.3275815e-05,1.295743e-05,0.0019043561,0.0018590142
21,8.3572035e-05,7.018182e-05,0.0019580717,0.0017828797
22,1.0510616e-08,5.36252e-09,0.00217305,0.002166781
23,8.563999e-06,6.9198486e-06,0.0019449807,0.0019991007
24,5.0296218e-05,4.4142085e-05,0.0017149394,0.0015818988
25,1.0909612e-06,6.963643e-07,0.0018653244,0.0017009709
26,2.3366646e-08,7.7227966e-08,0.001835273,0.0019010985
27,8.1557465e-07,7.768563e-07,0.0017786189,0.0016835993
28,7.011021e-09,3.815602e-09,0.001620638,0.0014323498
29,3.6759434e-07,3.0524896e-07,0.0021036253,0.0019466598
30,1.2096305e-11,9.011904e-12,0.0017165001,0.0017087338
31,8.312682e-08,9.501575e-08,0.0018765148,0.001734082
32,3.1095857e-05,2.8752644e-05,0.0018393917,0.001749663
33,0.00019600443,0.0001410836,0.001803167,0.0016650292
34,9.316239e-08,8.9563926e-08,0.0017509124,0.0014345249
35,4.7436873e-07,3.4343142e-07,0.0018944049,0.0018269471
36,7.0954156e-06,5.279126e-06,0.0014069628,0.001233359
37,1.4745499e-10,8.2047015e-11,0.0016718826,0.0014899506
38,8.223698e-05,6.773364e-05,0.0019638897,0.0017666584
39,3.2958053e-10,1.5797649e-10,0.0017754686,0.0015992955
40,3.0147288e-07,2.5045543e-07,0.0021441653,0.0021376975
41,6.86991e-07,5.575741e-07,0.0017837822,0.0015989327
42,6.399475e-06,4.8610373e-06,0.0017637032,0.001682677
43,6.7979236e-06,6.897724e-06,0.0017576797,0.0016116044
44,8.372788e-06,5.659684e-06,0.0015980598,0.0015277067
45,1.6076807e-08,4.9650364e-08,0.0019327326,0.0019481672
46,3.206368e-08,8.1689095e-08,0.0015133538,0.0014062185
47,2.385732e-07,1.7684246e-07,0.0015834128,0.0014110612
48,3.495665e-05,2.9151248e-05,0.0022272058,0.0021207265
49,5.550617e-08,1.0800317e-07,0.0020347715,0.0019922664
50,7.0935093e-06,6.311177e-06,0.001909046,0.0019385492
51,1.4312951e-06,9.910176e-07,0.0019335035,0.0018026303
52,5.7865674e-07,4.684458e-07,0.0019142067,0.0018486384
53,1.9261865e-06,1.8322771e-06,0.0020819274,0.0020324306
